ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Erro_Fluxo,SNR,Mag_Inst_B,Erro_Mag_B,Std_Fundo_Local,Area_Ap,Exptime,Mag_B_Calibrada,Mag_Inst_G,Erro_Mag_G,Paralaxe_Gaia,Erro_Paralaxe_Gaia,Mag_Ap_B,Mag_Ap_G,Cor_B_G,Erro_Cor_B_G,Distancia_pc,Mag_Abs_G,Erro_Mag_Abs_G
61,393.54027463453775,176.90647181212887,276.70160478495023,-15.050207307126444,101409.40530090002,335.7163729321797,302.0686909464091,43.47965443199603,0.0035942155957918,6.2786552804884215,352.1809355185953,250,12.83779403495516,44.37326732918504,0.0034661751194013,0.4709,0.019099999219179153,12.911981781379517,11.866645105907779,1.045336675471738,0.004993271042852533,2123.5931195582925,0.23128855812139193,0.08814446023682188
234,1018.7342425405462,624.5773207700588,276.6321565743187,-14.961951239314011,101327.87545221212,338.34282134404737,299.4828589821796,43.48052767951057,0.0036252492168996,6.2786552804884215,352.1809355185953,250,12.838701352155688,43.78555250516868,0.0026225494963959,0.5655,0.01730000041425228,12.912855028894057,11.27893028189142,1.633924747002638,0.00447439356177768,1768.3465959328028,0.04109332819879086,0.06648229212131403
112,1837.2743783230533,296.1193124927228,276.67767193855923,-14.842578608126043,89282.81031688314,317.3864478266183,281.30630947940324,43.61793039190372,0.0038594939516615,6.2786552804884215,352.1809355185953,250,12.9814648210214,44.63111600338625,0.0039942021071369,1.4941,0.01510000042617321,13.050257741287204,12.124493780108992,0.9257639611782125,0.005554218580103645,669.2992436918546,2.996392108853927,0.02230632679149748
263,1985.939150435264,715.7760850843196,276.6144615961957,-14.822890096448129,81697.28982467376,304.8844080817054,267.9615213473949,43.7143308972925,0.0040517011343298,6.2786552804884215,352.1809355185953,250,13.081626384865434,44.132290503952476,0.0030793093110217,0.7848,0.01889999955892563,13.146658246675983,11.625668280675214,1.5209899660007693,0.005089049804715447,1274.20998980632,1.099463252534676,0.052385214837968506
547,2689.212264469245,1410.304704718308,276.5079461831956,-14.72432512663619,79322.92853914041,304.07042369392497,260.87025359291863,43.74635317259383,0.0041618390178521,6.2786552804884215,352.1809355185953,250,13.114898006825191,44.7462443130266,0.0041915311609313,0.6516,0.014999999664723873,13.178680521977313,12.23962208974934,0.9390584322279736,0.005906762013453244,1534.6838551258443,1.309527467931698,0.05016327782731031
679,1600.2806648222063,1898.94278344232,276.439610870662,-14.883266352622163,78696.36279299477,297.6418952124421,264.3994815878497,43.75496337043411,0.0041062864173554,6.2786552804884215,352.1809355185953,250,13.123844130885558,44.26324855997382,0.0033047262665746,0.972,0.015200000256299973,13.187290719817597,11.756626336696556,1.4306643831210408,0.00527093955935235,1028.80658436214,1.6949576613279298,0.03411761193937766
494,2914.071028695214,1290.14492095468,276.52491410922363,-14.69140728335838,76824.04067597649,296.6958003287562,258.9320124883837,43.78110715717653,0.004192992552625,6.2786552804884215,352.1809355185953,250,13.151007915498145,44.66789586016332,0.0040780000991524,1.9784,0.02800000086426735,13.213434506560013,12.161273636886058,1.0521608696739548,0.005849040208021799,505.4589567327133,3.6428441536522627,0.031001906976689503
472,1968.1985044848943,1235.2988458181987,276.53706305184016,-14.827577019271263,71155.86760538927,286.8908968659716,248.02413873254244,43.86432322571813,0.0043773965128884,6.2786552804884215,352.1809355185953,250,13.237470652684678,44.70300522327726,0.0041261428622893,1.4256,0.014600000344216824,13.296650575101616,12.196382999999997,1.1002675751016184,0.006015534485901353,701.4590347923681,2.966371433463994,0.022618246117745048
248,746.1589155256687,679.5575231750372,276.62510427249833,-15.001462567946932,67894.26103174919,282.9702629868309,239.93426134289209,43.915267357244645,0.0045249894447063,6.2786552804884215,352.1809355185953,250,13.290402365664733,44.47501084403034,0.0036789806256231,0.6758,0.013799999840557575,13.34759470662813,11.968388620753082,1.3792060858750474,0.005831846012920228,1479.727730097662,1.1174795579474708,0.04449435072389016
334,962.595433244095,885.6191290826818,276.5934465101956,-14.9711108224289,67640.7851244146,281.5507240647971,240.2436908982962,43.919328421866496,0.0045191613396399,6.2786552804884215,352.1809355185953,250,13.294621872416869,44.46010181463363,0.0036492001340232,0.7503,0.015300000086426735,13.35165577124998,11.95347959135637,1.3981761798936105,0.0058085696029100695,1332.8002132480342,1.329654323607194,0.04443043853049173
165,1746.996717568304,418.6017727688357,276.6597915003423,-14.856108702342048,60813.95237846783,269.08829710329144,225.9999897175906,44.034841947436405,0.0048039825194536,6.2786552804884215,352.1809355185953,250,13.41464214948448,44.61295558591303,0.003937422183412,0.7049,0.01510000042617321,13.46716929681989,12.106333362635766,1.3608359341841236,0.0062114041486318276,1418.6409419775855,1.34697091547514,0.046682497011760575
313,2278.639091238302,834.3459223516929,276.5955430569781,-14.78117319681407,59566.20275220164,272.8768976372202,218.2896510037017,44.05735023313051,0.0049736668458991,6.2786552804884215,352.1809355185953,250,13.438028594249246,44.984309920792285,0.0048355754657821,0.644,0.018200000748038292,13.489677582513991,12.477687697515023,1.0119898849989681,0.0069368690328756874,1552.7950310559006,1.5221170343140837,0.06155792006316414
