ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Erro_Fluxo,SNR,Mag_Inst_B,Erro_Mag_B,Std_Fundo_Local,Area_Ap,Exptime,Mag_B_Calibrada,Mag_Inst_R,Erro_Mag_R,Mag_Ap_B,Mag_Ap_R,Cor_B_R,Erro_Cor_B_R
510,1029.9418915746091,1319.6746912283795,276.5284011790196,-14.963158525612304,39362.56271849177,225.68678950360228,174.41234732910004,44.50714160760523,0.006224903320356,6.2786552804884215,352.1809355185953,250,13.905368545313337,44.45262910959996,0.0067895900914134,13.936591296040604,12.700931751995142,1.2356595440454612,0.009211294966355065
436,1786.0681978078042,1154.938276480662,276.5498118778267,-14.853507906252014,38240.777388763,222.2639991360701,172.0511533014934,44.538533240741444,0.0063103325910142,6.2786552804884215,352.1809355185953,250,13.937984920651411,44.256589952071195,0.0061189766482567,13.96798292917682,12.504892594466376,1.4630903347104436,0.008789890365136917
502,2229.257933313361,1310.9744669559027,276.5246836805875,-14.790245228398035,37005.40876072415,242.64654937062977,152.50745933419535,44.57418700723815,0.0071189960460941,6.2786552804884215,352.1809355185953,250,13.975029716161966,45.165965053731725,0.0105664748987079,14.003636695673528,13.414267696126906,0.5893689995466218,0.012740898574642511
293,2093.364255431383,791.7953599055875,276.6026713361141,-14.80771424339051,36848.64816417769,219.4325831353096,167.92696707879327,44.578796121966306,0.0064653105983303,6.2786552804884215,352.1809355185953,250,13.979818655153998,44.89345933377436,0.0084735377274808,14.008245810401682,13.14176197616954,0.8664838342321417,0.010658380869152809
274,753.6318123760425,740.3363702305892,276.616003625799,-15.000634158685235,36244.25298245973,222.1686803326523,163.13844475374006,44.596752138955594,0.0066550836722691,6.2786552804884215,352.1809355185953,250,13.998475224793378,45.00227656229845,0.0091880064759251,14.02620182739097,13.25057920469363,0.7756226226973411,0.011345025415861541
395,274.8972517798207,1054.486823311389,276.57112947755843,-15.0708903539132,34882.34327566816,221.2148960478017,157.68532724907695,44.63833589256048,0.0068852316124825,6.2786552804884215,352.1809355185953,250,14.04168136541238,44.23657772710467,0.0060776688814819,14.067785580995853,12.484880369499848,1.582905211496005,0.0091839247269597
25,1292.1651046226386,84.70508627319323,276.7115295496362,-14.920288769280685,32600.98055883957,212.0941919737931,153.7099165962443,44.71177336469361,0.0070633048539857,6.2786552804884215,352.1809355185953,250,14.117983994988265,44.89671567874946,0.0088142220886397,14.14122305312899,13.14501832114464,0.9962047319843492,0.011295166509981247
452,2493.980403384236,1184.6769061032207,276.5424030548775,-14.751559465707064,32019.019671008224,213.31447922052453,150.10242055771076,44.73132994428882,0.007233061238893,6.2786552804884215,352.1809355185953,250,14.138303573063045,44.17110248840088,0.0059800344991373,14.160779632724193,12.419405130796058,1.741374501928135,0.009384987346632314
171,544.7099222940343,431.5049052090289,276.66297008849256,-15.029475517880352,29954.01689487529,205.1560582190626,146.006007109431,44.80371234565959,0.0074359954189163,6.2786552804884215,352.1809355185953,250,14.213509968370255,44.87675092981168,0.0084857237960532,14.233162034094967,13.125053572206859,1.1081084618881079,0.011282798243921928
536,2159.838225195276,1379.9924097638798,276.51468282141,-14.8005337697886,29389.12966234185,205.4215095762868,143.06744080968645,44.82438320930897,0.0075887287411832,6.2786552804884215,352.1809355185953,250,14.234987304207635,44.96183765547816,0.0087851364788563,14.253832897744346,13.210140297873345,1.043692599871001,0.011608937369948709
