ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Mag_Inst,Std_Fundo,Area_Ap,Exptime,Mag_R_Calibrada
820,2353.6885381989086,1728.6691569590107,276.4696668008538,-14.745436509068355,45256.43725046143,-6.031605782635544,3.344222022651961,710.3422573430399,175,12.263613903311096
760,705.2211300304656,1587.4653471451877,276.49762025450366,-14.982723651128834,45256.087876057776,-6.031597400846648,3.344222022651961,710.3422573430399,175,12.263622285099993
640,2717.4995039075266,1347.8449314472675,276.5249815410584,-14.691360290966037,45075.45783662028,-6.027255244774135,3.344222022651961,710.3422573430399,175,12.267964441172506
151,1641.259982756999,355.39924604549697,276.6776755772871,-14.842606811927876,44826.38702636963,-6.021239219440314,3.344222022651961,710.3422573430399,175,12.273980466506327
783,238.0410466958815,1649.0428132159311,276.4903882185291,-15.050365661332028,44565.36752601096,-6.014898609424568,3.344222022651961,710.3422573430399,175,12.280321076522073
447,966.0966163273524,965.9327091729236,276.5893522860087,-14.942578005288464,44298.0895496289,-6.008367370143004,3.344222022651961,710.3422573430399,175,12.286852315803637
205,2464.3496472833504,438.2568720866209,276.6618036766174,-14.724106635549488,43115.99657861894,-5.979000950258594,3.344222022651961,710.3422573430399,175,12.316218735688047
745,2307.418648409371,1557.5792053099217,276.49538869000816,-14.751412627818814,42257.23090605333,-5.957157464687932,3.344222022651961,710.3422573430399,175,12.33806222125871
387,90.77358698028914,841.7158196494668,276.61164114394006,-15.068399462140054,40009.61459284846,-5.897815798033595,3.344222022651961,710.3422573430399,175,12.397403887913047
579,2297.4544171768925,1242.6410348112142,276.542431591742,-14.751554277702896,39418.65523196856,-5.8816593888672415,3.344222022651961,710.3422573430399,175,12.4135602970794
319,162.42007415170428,692.6529489483362,276.633612210824,-15.05746073936928,38126.45042907115,-5.845470814178587,3.344222022651961,710.3422573430399,175,12.449748871768055
831,1234.7415510819633,1764.8932165558797,276.4689093339512,-14.90703732528065,37445.38291256345,-5.825900568272038,3.344222022651961,710.3422573430399,175,12.469319117674603
509,81.34668007582755,1113.1612475233724,276.57111613555,-15.0708451844455,37114.94331923593,-5.816276882405399,3.344222022651961,710.3422573430399,175,12.478942803541242
702,2492.5915842183103,1467.994228420256,276.5079878247123,-14.724319422694366,37075.53275910602,-5.815123379199342,3.344222022651961,710.3422573430399,175,12.4800963067473
122,987.8872355559184,299.468027704042,276.6888275496547,-14.936707135816304,36587.89563101507,-5.800748457198947,3.344222022651961,710.3422573430399,175,12.494471228747695
560,1589.8072304343857,1213.1673069604992,276.5497965349822,-14.85356869434588,36274.658943343326,-5.79141322294565,3.344222022651961,710.3422573430399,175,12.503806463000991
192,1709.2431094497413,420.0099328833595,276.66773540242525,-14.833059920097428,35549.60891109164,-5.769491946596469,3.344222022651961,710.3422573430399,175,12.525727739350172
27,1943.624742677193,75.90205046905211,276.7181305131273,-14.797777860983604,35470.13820076914,-5.767062079779493,3.344222022651961,710.3422573430399,175,12.528157606167149
246,1367.5275196274265,530.6157798481039,276.6526707718806,-14.882852295616146,35316.78540010087,-5.76235779430426,3.344222022651961,710.3422573430399,175,12.53286189164238
55,1560.4608870983295,163.22123854215437,276.7067278495835,-14.853473131190356,35268.49927450158,-5.760872328794835,3.344222022651961,710.3422573430399,175,12.534347357151805
676,383.0935335770228,1417.54383031912,276.52435846921225,-15.028521216872296,35136.94295720535,-5.756814812263097,3.344222022651961,710.3422573430399,175,12.538404873683543
785,1535.982618066257,1658.392376925524,276.48355223890013,-14.86314454410384,34861.16559888376,-5.748259637908565,3.344222022651961,710.3422573430399,175,12.546960048038077
899,1478.8790800933284,1935.240226034102,276.4424641161368,-14.872498593057472,34572.87052942143,-5.739243477800721,3.344222022651961,710.3422573430399,175,12.555976208145921
747,734.7833467872566,1559.8929369788018,276.50161393605,-14.97834850910721,33879.94315661886,-5.717261560796678,3.344222022651961,710.3422573430399,175,12.577958125149962
413,2082.036574891601,892.6829911909579,276.5955744205451,-14.78120188462544,32820.142068227695,-5.682756019902804,3.344222022651961,710.3422573430399,175,12.612463666043837
67,1785.6571987781065,183.41422044314572,276.7027476398739,-14.821039857297922,32713.41272240604,-5.679219510470568,3.344222022651961,710.3422573430399,175,12.616000175476074
920,2773.55076815072,1981.417310415164,276.4302294930177,-14.685884713756163,32642.86880412954,-5.676875677129568,3.344222022651961,710.3422573430399,175,12.618344008817072
94,1111.3615646644423,247.186824210943,276.6961092869823,-14.91866508809319,31766.41147319891,-5.647325270922474,3.344222022651961,710.3422573430399,175,12.647894415024167
709,1913.1670927800628,1479.167368358197,276.5087323860745,-14.807988105151162,30031.490903085563,-5.586347111121928,3.344222022651961,710.3422573430399,175,12.708872574824714
657,835.0292196250308,1377.8443391209942,276.52838135786766,-14.963155508436865,29947.539822428134,-5.583307755996691,3.344222022651961,710.3422573430399,175,12.71191192994995
254,2863.7415159674115,546.0779847625571,276.6440214895742,-14.66688928606441,29660.200013734808,-5.572840066708399,3.344222022651961,710.3422573430399,175,12.722379619238243
510,1131.5430728037877,1112.8070144378796,276.5667143359559,-14.919296979671929,29399.69760651706,-5.563262036925508,3.344222022651961,710.3422573430399,175,12.731957649021133
63,2510.992681139406,178.9978586092497,276.7003142097324,-14.716276869725856,29006.340357673005,-5.548637224874976,3.344222022651961,710.3422573430399,175,12.746582461071664
562,1936.292877172794,1216.3387590490754,276.5478688969985,-14.80357433061767,28884.781520583085,-5.54407759569084,3.344222022651961,710.3422573430399,175,12.7511420902558
591,2268.439019942333,1265.8407017061647,276.539090193282,-14.755838048945522,28714.940096769016,-5.537674664837692,3.344222022651961,710.3422573430399,175,12.75754502110895
