RA,DEC,Magnitude
276.5934473762542,-14.97111428544823,13.257071983329475
276.5900090462415,-14.89232712707308,15.07950755048046
276.5893876857801,-14.942568284150983,14.24405561574717
276.58661439844536,-14.846402983277468,14.65459379397428
276.58735353282816,-14.912873049819716,15.63979076043576
276.59025648102863,-15.06383096098142,12.818838283725896
276.5836047103681,-14.884982750567781,14.744881519753065
276.58325479450065,-14.87349710016601,15.845999717712402
276.58565199404103,-15.011662072684699,14.783459322471822
276.58072327822737,-14.929151711167178,14.339593767254915
276.57998572965215,-14.909922437817574,14.931610737682593
276.57609771458357,-14.80767482843933,15.237440940912336
276.5820306230899,-15.050523122233038,14.596516101780795
276.5801247767021,-14.989287330030379,15.63686178890496
276.58083861690767,-15.06523759801258,12.798262368243691
276.5754305232888,-14.898598425668496,12.539936151816825
276.57585607363114,-14.918750213681657,14.855126572364286
276.57624691725323,-14.986344530172222,14.567742061419825
276.5773135032772,-15.042166281873884,14.941746078892997
276.5752437673294,-14.971530495620325,14.84124783675448
276.5745465158247,-14.948763828275412,11.952031257797946
276.57580739281553,-15.020723308212235,15.490266288199415
276.5731056576666,-14.990027601020483,14.132190884655014
276.57069363795483,-14.987101391170755,15.394433989889727
276.56063712637547,-14.662205335702593,18.58491413500753
276.57137282581203,-15.039333291607019,16.057087420472218
276.56674780312557,-14.91926999330715,13.6696660570427
276.56644322145,-14.905228905832724,16.148747187124904
276.57112495374713,-15.070893445421666,13.970405589459876
276.5688820083543,-15.011855645147708,12.53809139768196
276.5693532866776,-15.03246572897484,13.602510127205115
276.56708297393584,-14.992316319412666,12.5613098435054
276.5628002053447,-14.848516833591018,12.28447957875393
276.56677779350474,-15.004481400460385,13.757224946017482
276.56552949261544,-14.975907431272454,15.859148396301599
276.5560533200558,-14.688342393246604,14.67330859241144
276.56682406737286,-15.060402833492612,14.764332109015394
276.5660884429951,-15.105938894786902,15.959762403286454
276.56057223515154,-14.938981757555077,14.720286163415615
276.5624832054633,-15.02792922981574,14.678710941451788
276.56194514320117,-15.017501086084287,14.132687983416897
276.5609307229996,-15.0009632811315,14.820986295947483
276.56113258517536,-15.014631117612138,12.712843551073739
276.56184273256827,-15.047205318705272,14.908992365963039
276.5554336861499,-14.902564059331493,14.289922469563859
276.5596697031749,-15.056343120610046,16.1793633943829
276.55664112840134,-15.006532605769525,14.260207117686468
276.55591832627783,-15.003184602668107,15.24386113069711
276.55546268575523,-14.989225047495886,14.686014336006979
276.5498102341373,-14.853522301353653,13.928732831331981
276.5478859470548,-14.803534650309174,14.597252067472255
276.55332834538956,-15.005288315237848,15.168274129167035
276.5528133032835,-15.00057493287065,15.466612932396561
276.5519478449759,-14.982222939024489,15.30811928458234
276.5424208710475,-14.751595711185173,14.256350531457713
276.5449425565468,-14.90753342654031,13.82924264004074
276.54608769798875,-14.972872181944764,15.531414205596768
276.5390955363995,-14.75588102364591,13.787329567482166
276.5440762312631,-14.93870229017351,15.869194096876061
276.53510350904656,-14.662874284488922,18.42177563551506
276.5455693618738,-15.046925826384328,18.937551577281365
276.54036889117486,-14.913033536734314,15.067611038253979
276.53705284725703,-14.827597965227017,13.274328374500374
276.53956280516365,-14.940369008448322,15.943387245766202
276.54298397966625,-15.07043837478786,14.627955471079423
276.5406645683816,-15.024304689645573,14.207636098652067
276.53878753412954,-14.970320347477392,14.736363220794825
276.538832918408,-14.977674589600138,15.618812206736779
276.53517209393215,-14.858535354456096,14.692760544915984
