ID,X_pix,Y_pix,RA_deg,Dec_deg,Fluxo,Mag_Inst,Std_Fundo,Area_Ap,Exptime
314,1720.271561961538,743.9132755315392,276.61806404515323,-14.843175040263247,47809.81412765867,-4.753414512223625,4.248347012311862,710.3422573430399,600
483,2369.1040064189856,1231.789673949676,276.5424353453763,-14.75155438473098,47340.55476445798,-4.7427052313933835,4.248347012311862,710.3422573430399,600
317,1019.288295169776,753.2703750173173,276.61966832024365,-14.944412135659615,46132.661842737696,-4.714643159069086,4.248347012311862,710.3422573430399,600
21,2276.7173362251433,46.5057619304597,276.71978629476365,-14.760043639798191,46048.279856687004,-4.712655403223124,4.248347012311862,710.3422573430399,600
524,906.707934786802,1367.4434809149675,276.52835870381915,-14.96317077052295,45697.35456597514,-4.704349522429214,4.248347012311862,710.3422573430399,600
175,1315.7161832500367,401.2716177334745,276.6709934863113,-14.90017679434039,44632.79090266029,-4.67875698469635,4.248347012311862,710.3422573430399,600
447,613.917455804744,1119.1649556923144,276.5666972520678,-15.004451433183414,44040.49570228311,-4.664252370473343,4.248347012311862,710.3422573430399,600
146,1668.5250254851785,342.2088719071662,276.678288199951,-14.849006699078984,44007.37450552115,-4.663435522000331,4.248347012311862,710.3422573430399,600
293,234.69989868020733,682.3456848567067,276.633608305956,-15.057468202101903,43900.854720616655,-4.660804313418053,4.248347012311862,710.3422573430399,600
392,1037.8733998405535,955.755801004413,276.58932972775096,-14.942552410856242,43328.86880807101,-4.6465652515526585,4.248347012311862,710.3422573430399,600
275,650.2154555413131,628.5194333574357,276.6398887758327,-14.997212501119435,43260.0017173962,-4.644838204901651,4.248347012311862,710.3422573430399,600
485,1288.5244254681766,1245.8499112963893,276.5449226493984,-14.90754222778195,43256.30289429595,-4.64474536815428,4.248347012311862,710.3422573430399,600
124,1059.7658044875373,289.16586342473886,276.68885152603906,-14.936678476839505,42870.34396143374,-4.635014294034722,4.248347012311862,710.3422573430399,600
670,491.2912232732028,1865.478937043567,276.4556412106282,-15.02520339910115,39212.94022066018,-4.538195392296811,4.248347012311862,710.3422573430399,600
29,1860.2607509618372,63.56785695164897,276.71906914789037,-14.820200362158793,39081.28552871052,-4.534543976143589,4.248347012311862,710.3422573430399,600
64,1632.1869272208803,152.75796768696918,276.70674533044803,-14.853480055862219,38518.95180242823,-4.5188080249608635,4.248347012311862,710.3422573430399,600
117,3058.3573893353623,274.18890668027825,276.68235703173116,-14.648258585930199,37819.51757383079,-4.498911835739177,4.248347012311862,710.3422573430399,600
348,1968.6270906752106,839.7715591746221,276.6026805498105,-14.807726976705435,37426.26463994512,-4.487563084412312,4.248347012311862,710.3422573430399,600
672,217.51806841551777,1873.048078900349,276.4556333654031,-15.06479095727681,37045.77263112838,-4.476468516319111,4.248347012311862,710.3422573430399,600
432,712.707805134454,1074.0620996616399,276.5730233260541,-14.98999715582024,35883.091878622945,-4.441846516825278,4.248347012311862,710.3422573430399,600
450,2805.338968840417,1127.848724218576,276.55607926342753,-14.688222978292245,35152.30472204479,-4.4195063848596075,4.248347012311862,710.3422573430399,600
517,2104.416954537177,1358.151355123587,276.5246971630878,-14.79025123354172,35083.29494358634,-4.417372810449403,4.248347012311862,710.3422573430399,600
76,1857.3266957140358,172.85575568610116,276.7027598678444,-14.821068938987423,34964.77800855081,-4.413698812161969,4.248347012311862,710.3422573430399,600
331,631.4033059023723,789.3776604734297,276.6159224393019,-15.000584169964865,34635.60638511571,-4.403428862736161,4.248347012311862,710.3422573430399,600
57,1168.8419385299271,133.96400720796774,276.71157156522474,-14.920296036893168,34526.76306149474,-4.400011535203674,4.248347012311862,710.3422573430399,600
